_key,a,area,ci,d,eccentricity,kx,ky,m00,m01,m10,minAreaPercent,minEnclosingCircleArea,mu02,mu03,mu11,mu20,mu30,pi,sx,sy,type
-LA07prX-5Fv0Hrn_oe0,0.7353184449958643,48951,1.3051023962050115,330.246337890625,0.7286821705426356,21232828949139760,74878942227168660,48951,6388105.5,4674820.5,85657.02857659516,85657.60004952892,273640169.25,0,0,145714889.25,0,896,0,0,Feuille d'avokado
-LA08FYaTlZ2noy8lXQd,0.59711661485957,125156,1.3739569678132757,554.5887451171875,1.7453183520599251,5173785023743990000,561151377318543170,125156,16896060,29349082,241563.35530716006,241563.87341443426,749100378.6666665,0,0,2274595573.666666,0.00048828125,1470,2.1466728224256885e-13,0,Feuille d'avokado
-LA08amT75bMr6tab8Iz,0.7161945147703439,141699,1.3112033770593574,564.434326171875,0.7085201793721974,1408017742722686200,5566742992939799000,141699,31811425.5,22600990.5,250216.37824325368,250216.94454782692,2359394624.25,0,0,1186599234.25,0,1528,0,0,Feuille d'avokado
-LA08iU6X2W7dSctzEdh,0.7161945147703439,141699,1.3112033770593574,564.434326171875,0.7085201793721974,1408017742722686200,5566742992939799000,141699,31811425.5,22600990.5,250216.37824325368,250216.94454782692,2359394624.25,0,0,1186599234.25,0,1528,0,0,Feuille d'avokado
-LA08sLl4ut12mIH1ExR,0.7506375743836783,47376,1.300759751038118,323.83306884765625,0.7450199203187251,19470884700524540,62857405499019190,47376,6016752,4500720,82362.44666867281,82363.02187826225,250713791.99999988,0,-1.1920928955078125e-7,139538112,0,880,0,0,Feuille d'avokado
-LA08xFwW1HRz03n7Ljp,0.6939067029967363,28897.5,5.509012775823985,329.6000061035156,1.3350785340314135,57235403770778090,12600921419673264,28897.5,2794290,3820204.6666666665,85322.3050175469,85322.6437025518,112253825.85762173,197912114.82692719,-1709170.8940976262,239239218.7137763,-2043532630.6884155,1414.3990565538406,-8.541796122203861,1.763076788829906,Feuille d'avokado
-LA0922DXJ8H2XEz98bf,0.4386351003369142,39648,1.6547810860739054,366.8014831542969,0.3492537313432836,2116450455970813,139135254534291460,39648,6700512,2378880,105669.70753775306,105670.08274328873,373008384,0,0,46004896,0,908,0,0,Feuille d'avokado
-LA09CAKPcrxo5jvE96p,0.7528998711168392,170289,1.3001565056724316,613.67431640625,0.7478991596638656,3271022734933730300,10425195655480019000,170289,40784215.5,30566875.5,295777.361870662,295777.9376032585,3228807156.75,0,0,1808596896.75,0,1668,0,0,Feuille d'avokado
-LA09M6ZImJTAimgyAej,0.7618147647837891,481388,1.2978698324665978,1030.012939453125,0.757537688442211,214178455499565700000,649323787948777100000,481388,192314506,145860564,833249.2689591757,833249.8466826543,25481832507.666656,0.015625,0,14634837050.666664,0,2802,0,6.131819599433811e-13,Feuille d'avokado
-LA09VFF4e9hIoPV8Qtk,0.5883068347782421,70675.5,9.851920724846886,643.0780639648438,1.82,6991066701071647000,707557756062206800,70675.5,9385938,21176309.333333332,324800.7187732348,324800.9363695903,841164523.777725,32470623998.06964,59030332.22535133,2644062537.2845564,-121685379755.02539,2958.011316180229,-46.02212619373061,38.6019893614176,Feuille d'avokado
